Band/ Group Name/ Performer,Song Name,Guitar Techniques #,Year,Month,Style,Type,Key,Ability Rating,Tempo,CD,Pages,GT Tutor,Comment,Will Improve Your
Thomas Leeb,Akaskero,,1999,November,Acoustic,Complete track,,Hard,,Tracks 16-17,,Eric Roche,,
Thomas Leeb,The Hard Can,65,2001,November,Acoustic,Complete track,,Hard,,Tracks 14-15,,Eric Roche,,
Thomas Robinson,Crisse His Delight,41,2000,January,Classical,Complete track,,Easy/Moderate,,Tracks 25-26,,Richard Stokkereit,,
Tom Petty,American Girl,58,2001,May,Rock,Complete track,,Easy/Moderate,,Tracks 2-5,,James Humphries,,
Tom Petty,I Won't Back Down,128,2006,August,Rock,Complete track,,Easy/Moderate,,Tracks 7-8,28-32,Steve Allsworth,,
Tom Petty,Into The Great Wide Open,,2002,Summer,Rock,Complete track,,Moderate,,Tracks 19-22,,James Humphries,,
Tommy Emmanuel,Moon River,209,2012,October,Acoustic,Complete track,C,Moderate/Difficult,Various,Track 8,30-34,Stuart Ryan,,
Toto,Hold The Line,194,2011,August,Rock,Complete track,F# minor,Moderate/Advance,97 bpm,Tracks 15-16,,Steve Allsworth,,
Traditional,Charlie Hunter's Jig,44,2000,April,Acoustic,Complete track,,Easy/Moderate,,Tracks 11-13,,Eric Roche,,
Traditional,Danny Boy,122,2006,March,Acoustic,Complete track,,Easy/Moderate,,Tracks 15-16,52-55,Stuart Ryan,,
Traditional,Danny Boy,,1998,June,Jazz,Complete track,,Moderate,,Track 17,,Martin Taylor,,
Traditional,Down By The Sally Gardens,54,2001,January,Acoustic,Complete track,,Moderate,,Tracks 23-34,,Eric Roche,,
Traditional,God Rest Ye Merry Gentlemen,,1998,Xmas,Acoustic,Complete track,,Moderate/Hard,,Tracks 14-15,,Eric Roche,,
Traditional,Greensleeves,,1997,December,Jazz,Complete track,,,,Track 6,,Frank Evans,,
Traditional,House Of The Rising Sun,180,2010,July,Instrumental,Complete track,A minor,Moderate,100 bpm,Track 13,,Stuart Ryan,,
Traditional,Merrily Kissed The Quaker,,1997,November,Classical,Complete track,,,,Track 9,,Eric Roche,,
Traditional,Scarborough Fair,152,2008,May,Acoustic,Complete track,,Moderate,,Tracks 18-19,,Stuart Ryan,,
Traditional,Si Beag Si Mor,61,2001,Summer,Acoustic,Complete track,,Moderate/Advance,,Tracks 9-10,,Eric Roche,,
Traditional,The Boys Of Bluehill,59,2001,June,Acoustic,Complete track,,Easy,,Tracks 14-15,,Eric Roche,,
Traditional,The Walter Is Wide,,1998,December,Acoustic,Complete track,,Moderate,,Tracks 16-17,,Eric Roche,,
Traditional,Swing Low Sweet Chariot,219,2013,July,Acoustic,Complete track,E major,Moderate/Advance,104 bpm,Track 80,84-86,Stuart Ryan,,
Travis,Sing,96,2004,March,Pop ballad,Complete track,,Easy,,Tracks 10-12,,James Humphries,,
Tuck Andress,Man In The Mirror,179,2010,June,Instrumental,Complete track,G,Advanced,106 bpm,Track 8,,Guthrie Govan,,
Tuck Andress,Man In The Mirror,,1995,December,,,,,,,,,,
Turlough O'Carolan,Eleanor Plunkett,121,2006,February,Acoustic,Complete track,,Moderate,,Tracks 43-45,,Stuart Ryan,,
Turlough O'Carolan,Planxty Irwin,103,2004,October,Acoustic,Complete track,,Easy/Moderate,,Tracks 19-20,,Eric Roche,,
U2 & BB King,When Love Comes To Town,178,2010,May,Blues,Complete track,E,Easy,116 bpm,Tracks 21-22,,Steve Allsworth,,
UFO,Lights Out,157,2008,October,Rock,Complete track,,Moderate/Advance,,Tracks 13-15,,James Humphries,,
UK,In The Dead Of Night,97,2004,April,Prog,Complete track,,Advanced,,Tracks 4-6,,Dave Kilminster,,
Van Halen,Ain't Talkin' 'Bout Love,,1999,February,Rock,Complete track,,Moderate/Hard,,Tracks 2-4,,Richard Bentley,,
Van Halen,Beat It,,1999,June,Rock,Solo,,Hard,,Tracks 8-11,,Phil Hilborne,,
Van Halen,Eruption,96,2004,March,Heavy metal,Complete track,,Moderate/Hard,,Tracks 7-9,,Dave Kilminster,,
Van Halen,Hot For Teacher,176,2010,April,Rock,Complete track,Am,Moderate/Advance,255 bpm,Tracks 6-7,,Steve Allsworth,,
Van Halen,Jump,75,2002,August,Acoustic,Complete track,,Moderate,,Tracks 9-10,,Eric Roche,,
Van Halen,Panama,70,2002,April,Metal,Complete track,,Advanced,,Tracks 12-14,,Geoff Whitehorn,,
Van Halen,Push Comes To Shoves,,1997,October,Rock,Complete track,,,,Track 13,,Shaun Baxter,,
Van Halen,Unchained,83,2003,March,Rock,Complete track,,Moderate/Advance,,Tracks 4-6,,James Humphries,,
Van Halen,Unchained,53,2000,Winter,Metal,Riff,,,,,,Phil Hilborne,,
Van Halen,Ain't Talkin' 'Bout Love,,2003,June,Rock,Riff,,,,Track 7,21,,,
Van Morrison,Brown Eyed Girl,42,2000,February,Rock,Complete track,,Easy,,Tracks 10-12,,James Humphries,,
Van Morrison,Moondance,69,2002,March,Pop/jazz,Complete track,,Moderate/Advance,,Tracks 22-23,,Eric Roche,,
Vangelis,Chariots Of Fire,207,2012,August,Classical,Complete track,E,Easy/Moderate,157 bpm,Tracks 17-18,,Bridget Mermikides,,
"Vaughan Brothers, The",D/FW,135,2007,February,Blues,Complete track,,Moderate,,Tracks 4-5,,Dario Cortese,,
Velvet Revolver,Fall To Pieces,105,2004,December,Rock,Complete track,,Moderate,,Tracks 4-6,,James Humphries,,
"Verdi, Guiseppe",La Donna È Mobile,224,2013,December,Classical,Complete track,A,Moderate,123 bpm,Tracks 36-37,46-49,Bridget Mermikides,,
"Verdi, Guiseppe ",La Forza del Destino,190,2011,Spring,Classical,Complete track,A minor,Moderate,85 bpm,Tracks 19-20,,Bridget Mermikides,,
"Vivaldi, Antonio",Autumn,210,2012,November,Classical Shred,Complete track,E major,Moderate/Advance,70 bpm,Tracks 35-37,50-56,Paul Bielatowicz,,
"Vivaldi, Antonio",Spring,208,2012,September,Classical Shred,Complete track,E major,Moderate/Advance,115 bpm,Tracks 15-17,44-50,Paul Bielatowicz,,
"Vivaldi, Antonio",Summer,209,2012,October,Classical Shred,Complete track,G minor,Advanced,150 bpm,Tracks 11-13,44-52,Paul Bielatowicz,,
"Vivaldi, Antonio",Winter,212,2013,January,Classical Shred,Complete track,F minor,Moderate/Advance,70 bpm,Tracks 10-12,44-52,Paul Bielatowicz,,
"Vivaldi, Antonio",Largo From Winter,231,2014,June,Classical,Complete track,D,Easy/Moderate,40 bpm,Tracks 43-44,46-48,Bridget Mermikides,,
"Wagner, Richard",Ride Of The Valkyries,209,2012,October,Classical,Complete track,C,Advanced,58 bmp,Tracks 9-10,36-40,Bridget Mermikides,,
Wes Montgomery,Days Of Wine And Roses,82,2003,February,Jazz,Complete track,,Moderate,,Tracks 3-11,36-42,Pete Callard,,
Wes Montgomery,Grooveyard,,1999,May,Jazz,Rhythm Part,,Hard,,Tracks 21-25,,Shaun Baxter,,
Wes Montgomery,Grooveyard!,,1999,Spring,Jazz,Complete track,,Moderate/Hard,,Tracks 17-19,,Shaun Baxter,,
Wes Montgomery,Sunny,234,2014,September,Jazz,Complete track,Various,Moderate/Advance,146 bpm,Tracks 8-9,26-36,Jacob Quistgaard,,
Whitesnake,Ain't No Love In The Heart Of The City,163,2009,April,Rock,Complete track,,Moderate,,Tracks 6-7,,Richard Barret,,
Whitesnake,Here I Go Again,124,2006,Spring,Rock,Complete track,,Moderate/Hard,,Tracks 7-9,24-29,James Humphries,,
Whitesnake,Still Of The Night,53,2000,Winter,Metal,Riff,,,,,,Phil Hilborne,,
Whitesnake,Ain't No Love in the Heart of the City,,1999,January,Metal,Riff,,Moderate,,Tracks 6-7,,Phil Hilborne,Intro/Chorus,
Whitesnake,Ready And Willing,,1999,January,Metal,Riff,,Moderate,,Tracks 6-7,,Phil Hilborne,Intro/Verse,
Whitesnake,Still Of The Night,,1999,January,Metal,Riff,,Moderate,,Tracks 6-7,,Phil Hilborne,Intro/Main Riff,
Whitesnake,Give Me All Your Love,,1999,January,Metal,Riff,,Moderate,,Tracks 6-7,,Phil Hilborne,Intro/Verse,
Whitesnake,Crying In The Rain,,1999,January,Metal,Riff,,Moderate,,Tracks 6-7,,Phil Hilborne,Main Riff,
Whitesnake,Bad Boys,,1999,January,Metal,Riff,,Moderate,,Tracks 6-7,,Phil Hilborne,Intro/Main Riff,
Whitesnake,Fool For Your Loving,239,2015,February,Rock,Complete track,Gmin,Moderate/Advance,121 bpm,Tracks 10-13,28-35,Jon Bishop,,
Whitesnake,Fool For Your Loving,,2003,June,Rock,Riff,,,,Track 10,24,,,
"Who, The",I Can See For Miles,139,2007,May,Rock,Complete track,,Easy/Moderate,,Tracks 7-9,,Jon Bishop,,
"Who, The",My Generation,54,2001,January,Rock,Riff,,,,,,Phil Hilborne,,
"Who, The",Pinball Wizard,107,2005,January,Rock,Complete track,,Moderate,,Tracks 14-18,,Paul Bielatowicz,,
"Who, The",Sunrice,172,2009,December,Acoustic,Complete track,G,Moderate,121 bpm,Track 12,,Richard Barret,,
"Who, The",Won't Get Fooled Again,79,2002,December,Rock,Complete track,,Moderate,,Tracks 5-6,26-40,,,"Rhythm dynamism, Chord knowledge, Lead fills in one guitar bands"
"Who, The",Baba O'Riley,241,2015,April,Rock,Complete track,F,Moderate,116 bpm,Tracks 8-9,26-31,Steve Allsworth,,
"Who, The",My Generation,,1998,Xmas,Rock,Riff,,,,,,Phil Hilborne,,
Wieniawski,Caprice No. 4,195,2011,September,Classical Shred,Complete track,A minor,Advanced,Various,Tracks 31-33,,Paul Bielatowicz,,
Wilie Dixon,I Just Wanna Make Love To You,,1997,November,,Complete track,,,,Track 6,,Guthrie Govan,,
William Ackerman,The Bricklayer's Beautiful Daughter,,1997,July,Acoustic,Complete track,,,,Track 9,,Eric Roche,,
Wilson Pickett,In The Midnight Hour,61,2001,Summer,Soul,Complete track,,Easy/Moderate,,Tracks 11-14,,James Humphries,,
Wings,Band On The Run,158,2008,November,Rock,Complete track,,Moderate,,Tracks 10-12,,Jon Bishop,,
Wishbone Ash,Blowin' Free,,1997,March,Rock,Complete track,,,,Track 13,,Dave Kilminster,,
Woody Mann,Top Hat,56,2001,March,Acoustic,Complete track,,,,,,,,
"Yardbirds, The",Jeff's Boogie,129,2006,Summer,Blues-Rock,Complete track,,Moderate,,Tracks 6-7,24-32,Kit Morgan,,
Yes,Owner Of A Lonely Heart,93,2003,Winter,Rock,Complete track,,Moderate,,Tracks 7-9,,Dave Kilminster,,
Yes,Yours Is No Disgrace,168,2009,August,Prog,Complete track,E major,Moderate/Difficult,145 bpm,Tracks 6-14,,James Humphries,,
Yngwie Malmsteen,Black Star,56,2001,March,Rock,Complete track,,Hard,,Tracks 6-9,,Dave Kilminster,,
Yngwie Malmsteen,Far Beyond The Sun,190,2011,Spring,Metal,Complete track,Fm# minor,Advanced,168 bpm,Tracks 17-18,,Steve Allsworth,,
Yngwie Malmsteen,Rising Force,53,2000,Winter,Metal,Riff,,,,,,Phil Hilborne,,
Yngwie Malmsteen,Save Our Love,,1996,February,Rock,Solo,,,,Track 12,,Shaun Baxter,,
Yngwie Malmsteen,Trilogy Suite Opus 5,,1997,January,Rock,Complete track,,,,Track 12,,Shaun Baxter,,
ZZ Top,Gimme All Your Lovin',97,2004,April,Rock,Complete track,,Easy/Moderate,,Tracks 10-13,,James Humphries,,
ZZ Top,Jesus Just Left Chicago,,1999,July,Rock,Complete track,,Easy/Moderate,,Tracks 5-8,,Geoff Whitehorn,,
ZZ Top,Just Got Paid,184,2010,November,Rock,Complete track,E,Moderate/Advance,94 bpm,Tracks 13-16,,Charlie Griffiths,,
ZZ Top,La Grange,89,2003,September,Rock,Complete track,,Easy/Moderate,,Tracks 7-10,,Geoff Whitehorn,,
ZZ Top,Sharp Dressed Man,147,2008,January,Rock,Complete track,,Moderate,,Tracks 10-12,,Steve Allsworth,,
ZZ Top,Tush,110,2005,April,Rock,Complete track,,Moderate,,Tracks 10-12,,James Humphries,,
